Feature Name,Acceptance Criteria,Assignee,Comments,Critical Questions & Ambiguities,Due,Epic,Module,Status,User Story
View Student Progress,"[ ] Display student list with enrollment status
[ ] Show individual student progress percentages
[ ] Display MatchDay scores and Summaries ","Nouman Javaid, Muhammad Irtaza, Muhammad Faizan Nasir, Tayyab Mughal",,,"November 21, 2025",Untitled (https://www.notion.so/21ba91a7eae681bd92dbe9f6e193a1be?pvs=21),Course Management,Backlog,"As an admin, I want to monitor individual student progress and performance across courses."
Password Recovery System,"• User can request password reset by entering email address
• System sends password reset email with secure token
• Reset token expires after a defined time period
• User can set new password using the reset link
• New password must meet complexity requirements
• Old password is invalidated after successful reset
","Muhammad Faizan Nasir, Tayyab Mughal, Muhammad Irtaza",,"• What should be the expiration time for password reset tokens?
• Should we limit the number of password reset requests per day?
• Do we need to invalidate all existing sessions after password reset?
• Should we send notification emails for password changes?
• What security measures should we implement for the reset process?","October 12, 2025",Untitled (https://www.notion.so/21ba91a7eae6815fb2eae9e0aafb073a?pvs=21),Authentication,In QA,"As a user who has forgotten my password, I want to reset it using my email address so that I can regain access to my account."
Platform Analytics Dashboard,"[ ] Display platform-wide usage statistics
[ ]  Google Analytics will be integrated to observe Platform specific stats.","Nouman Javaid, Muhammad Irtaza, Muhammad Faizan Nasir, Tayyab Mughal",,,"November 11, 2025",Untitled (https://www.notion.so/21ba91a7eae681bd92dbe9f6e193a1be?pvs=21),Course Management,Backlog,"As a super admin, I want comprehensive analytics on platform usage, course performance, and user engagement."
The League Assignment,"[ ] League assignment considers both overall score and individual concept performance
[ ] System displays the assigned league prominently to the learner
[ ] League assignment includes clear explanation of what the league represents Modules the Learner qualifies for.
[ ] Learner can view league-specific learning paths and content assigned by Admin.","Muhammad Faizan Nasir, Tayyab Mughal","All Learners have access to all Modules. ","1. How many leagues should the system support (e.g., Bronze, Silver, Gold, Platinum)?
2. What scoring thresholds determine league boundaries?
3. Should league assignment be based on overall score or weighted concept scores?
4. How often can learners be reassigned to different leagues?
5. Should there be a probationary period before league changes take effect?
6. What happens if a learner's performance drops significantly?
7. Should leagues have names that relate to football (e.g., Sunday League, Championship, Premier)?
8. How will the system handle new learners who haven't taken assessments yet?
9. Should there be social features that allow learners to see others in their league?
10. What visual indicators and badges will represent different leagues?","November 2, 2025",Untitled (https://www.notion.so/21ba91a7eae6814a9767c2f2a971d544?pvs=21),Learning,Backlog,"As a Learner, I want to be automatically assigned to an appropriate league based on my Taktikcheck performance so that I receive learning content and challenges that match my current skill level."
The Administrator Builds the Course,[ ] Questionnaire can be created Including rating based questions (ONLY),"Muhammad Faizan Nasir, Tayyab Mughal",,"1. What content authoring tools will be provided for course creation?
2. Should the system support collaborative course building by multiple administrators?
3. What file formats and sizes will be supported for multimedia content?
4. How will version control be handled for course updates?
5. What approval workflow is needed before course publication?
6. Should there be templates or wizards to guide course creation?
7. How will course analytics and learner feedback influence course updates?
8. What accessibility standards must the course content meet?
9. How will courses be categorized and tagged for easy discovery?
10. What backup and recovery mechanisms are needed for course content?","November 2, 2025",Untitled (https://www.notion.so/21ba91a7eae6814a9767c2f2a971d544?pvs=21),Course Management,Backlog,"As an Administrator, I want to build a comprehensive form for assessing learners can systematically develop their tactical understanding through structured lessons and assessments."
Course Preview & Details,"[ ] Display comprehensive course overview page
[ ] Show course intro preview (if added) video
[ ] Display course duration and difficulty level","Muhammad Faizan Nasir, Tayyab Mughal, Muhammad Irtaza, Nouman Javaid",,,"September 9, 2025",Untitled (https://www.notion.so/21da91a7eae6811aab59fed5c521438f?pvs=21),Course Management,In Progress,"As a learner, I want to preview course content, and (if any) instructions before starting."
Course Enrollment,"[ ] Add MatchDay to user's dashboard immediately
","Muhammad Faizan Nasir, Tayyab Mughal, Muhammad Irtaza, Nouman Javaid",,,"September 29, 2025",Untitled (https://www.notion.so/21da91a7eae6811aab59fed5c521438f?pvs=21),Course Management,Done,"As a admin, I want to enroll in courses so I can access the learning content."
Role-Based Access Control System,"• System supports multiple user roles (Admin, Content Creator, Learner, etc.)
• Each role has defined permissions for different system features
• Role permissions can be modified by administrators
• Access control is enforced at both UI and API levels
• Role changes take effect immediately
• System provides clear feedback when access is denied
• Default roles are created during system initialization","Muhammad Faizan Nasir, Tayyab Mughal, Muhammad Irtaza",,,"September 9, 2025",Untitled (https://www.notion.so/21ba91a7eae6815fb2eae9e0aafb073a?pvs=21),Authentication,In QA,"As a system administrator, I want to control user access to different features and content based on their roles so that I can maintain security and proper content access levels."
Create Course Structure,"[ ] Create MatchDays with basic information (title, description, category)
[ ] Add course modules and organize lessons
[ ] Configure enrollment settings (Only Modules / MatchDays)","Muhammad Faizan Nasir, Tayyab Mughal, Muhammad Irtaza, Nouman Javaid",,,"September 11, 2025",Untitled (https://www.notion.so/21da91a7eae6811aab59fed5c521438f?pvs=21),Course Management,Done,"As an admin, I want to create MatchDays, modules."
The Personalized 'Micro-Lesson',"[ ] Content is concise and focused on specific tactical concepts
[ ] System tracks learner engagement and completion of micro-lessons
[ ] Learner can access micro-lessons immediately after quiz failure
[ ] System provides progress indicators for micro-lesson completion
","Muhammad Faizan Nasir, Tayyab Mughal, Muhammad Irtaza, Nouman Javaid",,"1. What constitutes an optimal length for a micro-lesson (time/content wise)?
2. How will the system personalize content for different learning styles?
3. What content authoring tools will create and maintain micro-lessons?
4. How will micro-lessons be tagged and organized for efficient retrieval?
5. Should micro-lessons be dynamically generated or pre-authored?
6. What multimedia elements will be most effective for tactical concept explanation?
7. How will the system measure and improve micro-lesson effectiveness?
8. Should learners be able to request additional micro-lessons on topics?
9. How will micro-lessons integrate with the broader course curriculum?
10. What accessibility features are needed for diverse learner populations?","October 22, 2025",Untitled (https://www.notion.so/21ba91a7eae6813a9349e9a9bd340ed2?pvs=21),AI Coach,Backlog,"As a Learner, I want to receive personalized micro-lessons based on my specific knowledge gaps so that I can quickly understand and master the tactical concepts I'm struggling with."
