Story Title,Status,Priority,Sprint,Feature,Assignee,Due,Acceptance Criteria,Dependencies,Epic,QA Notes,User Story
Interactive block: Video,Backlog,P2,Sprint 2 (The%20Forge%2021f9ae7944c6805fb0cfc2e8de231089/Sprints%20e2721efaa7de4b408a155fe7484eb190/Sprint%202%204796770e6a0e47b5ad32c15b6033eeef.md),,,,"- Inline video player with playback controls
- Marks block completed when watched threshold reached
- Handles network errors gracefully",,,,"As a learner, I want to watch instructional videos within a matchday."
Progress tracking: Modules and Matchdays overview,Backlog,P1,Sprint 2 (The%20Forge%2021f9ae7944c6805fb0cfc2e8de231089/Sprints%20e2721efaa7de4b408a155fe7484eb190/Sprint%202%204796770e6a0e47b5ad32c15b6033eeef.md),,,,"- Modules list with progress per module
- Matchdays screen shows total assigned, completed, remaining, and completion percentage
- Data updates in real time after completion",,,,"As a user, I want to see module-level and matchday-level progress breakdown."
Admin dashboard metrics overview,Backlog,P1,Sprint 1 (The%20Forge%2021f9ae7944c6805fb0cfc2e8de231089/Sprints%20e2721efaa7de4b408a155fe7484eb190/Sprint%201%2059c99bc25205430a8533fa838563e24e.md),,,,"- Dashboard shows Total Leagues, Total Modules, Total Matchdays, Published Content, Recent Leagues
- Metrics load under 2s on first paint
- Error states and empty states handled",,,,"As an admin, I want to view key platform metrics so I can understand current content and users at a glance."
Onboarding sequence,Backlog,P2,Sprint 2 (The%20Forge%2021f9ae7944c6805fb0cfc2e8de231089/Sprints%20e2721efaa7de4b408a155fe7484eb190/Sprint%202%204796770e6a0e47b5ad32c15b6033eeef.md),,,,"- Multi-step onboarding with skip
- Explains leagues, modules, matchdays, progress
- Persist completion to not re-show",,,,"As a new user, I want a short onboarding so I understand how to use the app."
Core matchday activities framework,Backlog,P0,Sprint 3 (The%20Forge%2021f9ae7944c6805fb0cfc2e8de231089/Sprints%20e2721efaa7de4b408a155fe7484eb190/Sprint%203%208a1b45bb32754b4884591bee529163ee.md),,,,"- Implement activity framework with pluggable block types
- Each block saves state and completion
- Themed UI consistent with scene",,,,"As a learner, I want core activity types like microlearning videos, quizzes, branching scenarios, drag and drop, matching, pinboards, process designer, simulation, and templates."
Media library for uploads,Backlog,P2,Sprint 1 (The%20Forge%2021f9ae7944c6805fb0cfc2e8de231089/Sprints%20e2721efaa7de4b408a155fe7484eb190/Sprint%201%2059c99bc25205430a8533fa838563e24e.md),,,,"- Upload images, audio, video, pdf
- File size and type validation
- Show totals and basic metadata
- Preview for common file types",,,,"As an admin, I want a file library to upload and reuse media across content."
Admin user management,Backlog,P2,Sprint 1 (The%20Forge%2021f9ae7944c6805fb0cfc2e8de231089/Sprints%20e2721efaa7de4b408a155fe7484eb190/Sprint%201%2059c99bc25205430a8533fa838563e24e.md),,,,"- User list with search and pagination
- View user details
- Disable or reset password actions with confirmation
- Activity logged",,,,"As an admin, I want to view and manage users so I can maintain accounts."
Coach Klaus intro experience,Backlog,P2,Sprint 3 (The%20Forge%2021f9ae7944c6805fb0cfc2e8de231089/Sprints%20e2721efaa7de4b408a155fe7484eb190/Sprint%203%208a1b45bb32754b4884591bee529163ee.md),,,,"- HQ avatar with animations
- Skip option not shown on first run but available after
- Smooth transition into first activity",,,,"As a learner, I want an animated Coach Klaus introduction to guide me into the first activity."
Interactive block: Quiz (single and multiple choice),Backlog,P1,Sprint 2 (The%20Forge%2021f9ae7944c6805fb0cfc2e8de231089/Sprints%20e2721efaa7de4b408a155fe7484eb190/Sprint%202%204796770e6a0e47b5ad32c15b6033eeef.md),,,,"- Supports single and multiple choice
- Immediate correctness feedback
- Records score and completion
- Accessible via keyboard",,,,"As a learner, I want to answer single and multiple choice questions and receive feedback."
League management CRUD,Backlog,P0,Sprint 1 (The%20Forge%2021f9ae7944c6805fb0cfc2e8de231089/Sprints%20e2721efaa7de4b408a155fe7484eb190/Sprint%201%2059c99bc25205430a8533fa838563e24e.md),,,,"- Create, read, update, delete for leagues
- Nested management for modules, matchdays, content blocks
- Validation on required fields
- Audit timestamps captured",,,,"As an admin, I want to create and manage leagues, modules, matchdays, and content blocks."
